Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S171836610,Graylag Goose,Anser anser,264,7,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-05-04,09:53:00,eBird - Traveling Count,63,1,0.34,NA,1,NA,"Unexpected patch tick. 7 birds in a roosting flock on the west bank of Balgove Bay, right at the edge of the scope's range in the haar.",NA,NA
S188933203,Graylag Goose,Anser anser,264,1,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-07-26,16:23:00,eBird - Stationary Count,71,1,NA,NA,1,NA,Presumably the same bird that flew north over the golf course before I arrived at the estuary.,NA,NA
S191745262,Graylag Goose,Anser anser,264,2,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-08-17,10:31:00,eBird - Traveling Count,106,1,0.39,NA,1,NA,NA,NA,NA
S172094983,Graylag Goose,Anser anser,264,1,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-05-05,10:08:00,eBird - Traveling Count,54,1,1.16,NA,1,NA,Flying south over the Madras field - presumably one of the birds from the Balgove Bay flock yesterday.,NA,NA
S200320590,Graylag Goose,Anser anser,264,1,GB-SCT,Fife,L8016493,Out Head,56.366517,-2.8198006,2024-10-26,14:35:00,eBird - Traveling Count,81,1,1.31,NA,1,NA,Flying west down the north bank of the estuary. Several months since my last bird on the patch.,NA,NA
S188923230,Graylag Goose,Anser anser,264,1,GB-SCT,Fife,L4828301,St Andrews Links,56.3495844,-2.8087478,2024-07-26,16:05:00,eBird - Traveling Count,16,1,0.87,NA,1,NA,Flying north over the golf course towards Balgove Bay.,NA,NA
S157830542,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-01-02,11:49:00,eBird - Traveling Count,46,1,0.61,NA,1,NA,One heard flying overhead but not seen in all the fog,Thick fog on the sea and no scope with me prevented any proper seawatching,NA
S160595352,Pink-footed Goose,Anser brachyrhynchus,299,35,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-02-04,12:23:00,eBird - Stationary Count,25,1,NA,NA,1,NA,NA,Massive drop in numbers of birds on the sea.,NA
S196555447,Pink-footed Goose,Anser brachyrhynchus,299,45,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-09-26,16:48:00,eBird - Stationary Count,50,1,NA,NA,2,NA,Two smallish flocks distantly over the Dundee/Angus coastline.,NA,NA
S197977191,Pink-footed Goose,Anser brachyrhynchus,299,176,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-10-08,09:01:00,eBird - Stationary Count,60,1,NA,NA,1,NA,"One distant flock of about 26, then a large flock overhead about 150.",NA,NA
S198492442,Pink-footed Goose,Anser brachyrhynchus,299,44,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-10-12,14:42:00,eBird - Traveling Count,83,1,0.54,NA,1,NA,Two flocks of about twenty apiece.,NA,NA
S198966239,Pink-footed Goose,Anser brachyrhynchus,299,157,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-10-15,09:34:00,eBird - Traveling Count,32,1,0.48,NA,1,NA,NA,NA,NA
S201454703,Pink-footed Goose,Anser brachyrhynchus,299,7,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-11-05,08:10:00,eBird - Stationary Count,79,1,NA,NA,2,NA,NA,"Trying to re-find Iceland Gull. With Tom Beckett. Overcast, drizzle came through around 9:15.",NA
S201644875,Pink-footed Goose,Anser brachyrhynchus,299,340,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-11-07,09:03:00,eBird - Stationary Count,104,1,NA,NA,1,NA,"Two loose flocks over, flying south.","Incredibly productive morning. Warm, sunny, little wind. No sign of Iceland Gull still.",NA
S201982876,Pink-footed Goose,Anser brachyrhynchus,299,30,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-11-10,09:22:00,eBird - Traveling Count,56,1,0.27,NA,13,NA,NA,NA,NA
S202239607,Pink-footed Goose,Anser brachyrhynchus,299,258,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-11-12,09:34:00,eBird - Traveling Count,70,1,0.5,NA,1,NA,NA,NA,NA
S202659009,Pink-footed Goose,Anser brachyrhynchus,299,187,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-11-16,14:02:00,eBird - Stationary Count,81,1,NA,NA,2,NA,NA,NA,NA
S205331974,Pink-footed Goose,Anser brachyrhynchus,299,35,GB-SCT,Fife,L27145796,Aquarium Viewpoint,56.3439965,-2.8011231,2024-12-14,12:10:00,eBird - Traveling Count,63,1,0.54,NA,2,NA,NA,NA,NA
S200862528,Pink-footed Goose,Anser brachyrhynchus,299,387,GB-SCT,Fife,L28757348,B939 (Buchanan Gardens and Strathkinness Low Road),56.3351857,-2.8278245,2024-10-31,08:48:00,eBird - Traveling Count,12,1,1.03,NA,1,NA,NA,Windy,NA
S158767779,Pink-footed Goose,Anser brachyrhynchus,299,4,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-01-13,12:10:00,eBird - Stationary Count,99,1,NA,NA,1,NA,NA,NA,NA
S159349278,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-01-20,14:34:00,eBird - Traveling Count,39,1,1.31,NA,1,NA,NA,Quiet afternoon. All counts are estimated.,NA
S159998607,Pink-footed Goose,Anser brachyrhynchus,299,70,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-01-28,10:13:00,eBird - Traveling Count,120,1,0.08,NA,1,NA,"40 flying north at 10:15, 30 on the estuary.","Windy, overcast. Most counts are estimated.",NA
S162723573,Pink-footed Goose,Anser brachyrhynchus,299,69,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-02-24,11:18:00,eBird - Stationary Count,112,1,NA,NA,1,NA,"Flying north rather high up, presumably migrating.",NA,NA
S196705312,Pink-footed Goose,Anser brachyrhynchus,299,207,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-09-28,10:07:00,eBird - Traveling Count,83,1,0.3,NA,1,NA,"At least four flocks flying over, perhaps more.",NA,NA
S197595823,Pink-footed Goose,Anser brachyrhynchus,299,49,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-10-05,13:24:00,eBird - Traveling Count,85,1,0.38,NA,1,NA,NA,NA,NA
S198231974,Pink-footed Goose,Anser brachyrhynchus,299,300,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-10-10,16:29:00,eBird - Stationary Count,66,1,NA,NA,1,NA,Distant flock over Tentsmuir.,Most higher counts estimated.,NA
S198680575,Pink-footed Goose,Anser brachyrhynchus,299,30,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-10-13,12:58:00,eBird - Traveling Count,24,1,0.53,NA,9,NA,NA,NA,NA
S200569141,Pink-footed Goose,Anser brachyrhynchus,299,44,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-10-28,08:54:00,eBird - Stationary Count,58,1,NA,NA,1,NA,NA,"Very productive, without anything too exciting.",NA
S205324954,Pink-footed Goose,Anser brachyrhynchus,299,60,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-12-14,10:16:00,eBird - Stationary Count,75,1,NA,NA,1,NA,NA,NA,NA
S205974802,Pink-footed Goose,Anser brachyrhynchus,299,40,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-12-20,11:16:00,eBird - Stationary Count,56,1,NA,NA,1,NA,NA,NA,NA
S206733236,Pink-footed Goose,Anser brachyrhynchus,299,63,GB-SCT,Fife,L27804733,Balgove Bay (East),56.3540026,-2.8317363,2024-12-27,12:36:00,eBird - Stationary Count,50,1,NA,NA,1,NA,NA,NA,NA
S161958074,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L28490837,Balgove Farm,56.3474128,-2.8230652,2024-02-18,10:12:00,eBird - Traveling Count,20,1,1.4,NA,1,NA,NA,NA,NA
S162866149,Pink-footed Goose,Anser brachyrhynchus,299,1017,GB-SCT,Fife,L27537278,Cairnsmill Caravan Park,56.3227755,-2.8153566,2024-02-25,14:50:00,eBird - Traveling Count,16,1,0.94,NA,1,NA,"Exact count from photo - a massive flock appeared seemingly out of nowhere, perhaps flushed from a field out near Fairmont where they had been feeding or roosting?",NA,NA
S158760153,Pink-footed Goose,Anser brachyrhynchus,299,23,GB-SCT,Fife,L27980640,David Russell Apartments to Swilken Burn,56.3372378,-2.8281098,2024-01-13,11:02:00,eBird - Traveling Count,25,1,1.02,NA,1,NA,NA,NA,NA
S196699102,Pink-footed Goose,Anser brachyrhynchus,299,20,GB-SCT,Fife,L27980640,David Russell Apartments to Swilken Burn,56.3372378,-2.8281098,2024-09-28,09:15:00,eBird - Traveling Count,18,1,1.07,NA,1,NA,NA,NA,NA
S198665336,Pink-footed Goose,Anser brachyrhynchus,299,21,GB-SCT,Fife,L27980640,David Russell Apartments to Swilken Burn,56.3372378,-2.8281098,2024-10-13,11:07:00,eBird - Traveling Count,18,1,1.01,NA,9,NA,"One flock, flying south-west fairly high up.",NA,NA
S207188700,Pink-footed Goose,Anser brachyrhynchus,299,20,GB-SCT,Fife,L27980640,David Russell Apartments to Swilken Burn,56.3372378,-2.8281098,2024-12-30,14:45:00,eBird - Traveling Count,23,1,1.13,NA,1,NA,NA,NA,NA
S162862916,Pink-footed Goose,Anser brachyrhynchus,299,55,GB-SCT,Fife,L29495581,Farms between A917 and A915,56.3223508,-2.8000525,2024-02-25,13:57:00,eBird - Traveling Count,47,1,2.39,NA,1,NA,NA,NA,NA
S162855050,Pink-footed Goose,Anser brachyrhynchus,299,70,GB-SCT,Fife,L28960177,Farms between A917 and Grange Rd,56.325225,-2.7748958,2024-02-25,13:24:00,eBird - Traveling Count,32,1,1.43,NA,1,NA,NA,NA,NA
S202662520,Pink-footed Goose,Anser brachyrhynchus,299,121,GB-SCT,Fife,L27105536,Hepburn Gardens,56.3364704,-2.8104265,2024-11-16,15:49:00,eBird - Traveling Count,4,1,0.41,NA,1,NA,NA,NA,NA
S200863760,Pink-footed Goose,Anser brachyrhynchus,299,1406,GB-SCT,Fife,L28492125,Kinness Burn between Rufflets and Lade Braes,56.3333048,-2.8328563,2024-10-31,09:00:00,eBird - Traveling Count,28,1,1.2,NA,1,NA,NA,NA,NA
S159124967,Pink-footed Goose,Anser brachyrhynchus,299,82,GB-SCT,Fife,L1626564,Lade Braes,56.3332961,-2.8126477,2024-01-17,13:04:00,eBird - Traveling Count,41,1,1.65,NA,1,NA,"Single flock north, fairly high up",NA,NA
S160170459,Pink-footed Goose,Anser brachyrhynchus,299,30,GB-SCT,Fife,L1626564,Lade Braes,56.3332961,-2.8126477,2024-01-30,09:44:00,eBird - Traveling Count,8,1,0.64,NA,1,NA,NA,NA,NA
S161500675,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L1626564,Lade Braes,56.3332961,-2.8126477,2024-02-14,18:58:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S165396321,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L1626564,Lade Braes,56.3332961,-2.8126477,2024-03-19,17:32:00,eBird - Traveling Count,18,1,1.11,NA,1,NA,NA,NA,NA
S166416625,Pink-footed Goose,Anser brachyrhynchus,299,10,GB-SCT,Fife,L1626564,Lade Braes,56.3332961,-2.8126477,2024-03-30,00:27:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S201124275,Pink-footed Goose,Anser brachyrhynchus,299,39,GB-SCT,Fife,L1626564,Lade Braes,56.3332961,-2.8126477,2024-11-02,15:37:00,eBird - Traveling Count,23,1,1.01,NA,1,NA,NA,NA,NA
S201660613,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L1626564,Lade Braes,56.3332961,-2.8126477,2024-11-07,12:49:00,eBird - Traveling Count,56,1,1.92,NA,1,NA,NA,NA,NA
S159892778,Pink-footed Goose,Anser brachyrhynchus,299,19,GB-SCT,Fife,L28959436,Maiden Rock,56.3321362,-2.767336,2024-01-27,11:04:00,eBird - Stationary Count,96,1,NA,NA,1,F Flyover,"NE, 1 flock. Migrating north already?",NA,NA
S160797671,Pink-footed Goose,Anser brachyrhynchus,299,20,GB-SCT,Fife,L27105540,Market Street,56.3403736,-2.797724,2024-02-06,18:03:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S159803502,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-01-26,08:38:00,eBird - Traveling Count,47,1,1.05,NA,1,NA,NA,NA,NA
S160320463,Pink-footed Goose,Anser brachyrhynchus,299,29,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-02-01,09:00:00,eBird - Traveling Count,49,1,1.29,NA,1,NA,NA,NA,NA
S160914196,Pink-footed Goose,Anser brachyrhynchus,299,13,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-02-08,09:31:00,eBird - Traveling Count,50,1,1.44,NA,1,NA,"Single flock, fairly high, flying north east.","Cold (probably sub-zero the whole time), still. Pond about three quarters frozen. No sign of female Goshawk seen yesterday, but a surprisingly good morning nevertheless. A single hare the non-bird highlight.",NA
S168141127,Pink-footed Goose,Anser brachyrhynchus,299,65,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-04-11,16:16:00,eBird - Traveling Count,51,1,1.09,NA,1,NA,NA,NA,NA
S196306502,Pink-footed Goose,Anser brachyrhynchus,299,263,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-09-24,08:06:00,eBird - Traveling Count,44,1,1.39,NA,1,NA,Three flocks,NA,NA
S196847099,Pink-footed Goose,Anser brachyrhynchus,299,14,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-09-29,09:20:00,eBird - Traveling Count,52,1,1.49,NA,1,NA,NA,NA,NA
S196995430,Pink-footed Goose,Anser brachyrhynchus,299,35,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-09-30,08:52:00,eBird - Traveling Count,45,1,1.52,NA,1,NA,NA,NA,NA
S197433457,Pink-footed Goose,Anser brachyrhynchus,299,82,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-10-04,08:37:00,eBird - Traveling Count,51,1,1.51,NA,1,NA,NA,NA,NA
S197573543,Pink-footed Goose,Anser brachyrhynchus,299,35,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-10-05,11:38:00,eBird - Traveling Count,73,1,1.5,NA,1,NA,NA,NA,NA
S198189447,Pink-footed Goose,Anser brachyrhynchus,299,59,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-10-10,08:38:00,eBird - Traveling Count,76,1,1.82,NA,1,NA,"Three flocks of about twenty each. Two flying south/west, one flying north/east","Fantastic morning of birding. Several scarce local birds, and lots of visible migration activity too.",NA
S198660998,Pink-footed Goose,Anser brachyrhynchus,299,74,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-10-13,09:08:00,eBird - Traveling Count,73,1,1.58,NA,1,NA,NA,NA,NA
S198964409,Pink-footed Goose,Anser brachyrhynchus,299,131,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-10-15,08:45:00,eBird - Traveling Count,34,1,0.95,NA,1,NA,NA,NA,NA
S199412013,Pink-footed Goose,Anser brachyrhynchus,299,1005,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-10-19,08:42:00,eBird - Traveling Count,58,1,1.5,NA,1,NA,Numerous flocks of 100+ flying SW throughout the morning.,NA,NA
S199839753,Pink-footed Goose,Anser brachyrhynchus,299,79,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-10-22,09:00:00,eBird - Traveling Count,42,1,1.32,NA,1,NA,NA,NA,NA
S200056796,Pink-footed Goose,Anser brachyrhynchus,299,460,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-10-24,08:58:00,eBird - Traveling Count,50,1,1.63,NA,1,NA,NA,NA,NA
S200478452,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-10-27,14:18:00,eBird - Traveling Count,63,1,1.9,NA,1,NA,"One lone bird, flying high over the pond, honking as it went.",NA,NA
S200960361,Pink-footed Goose,Anser brachyrhynchus,299,16,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-11-01,08:25:00,eBird - Traveling Count,42,1,1.3,NA,1,NA,NA,NA,NA
S201073318,Pink-footed Goose,Anser brachyrhynchus,299,167,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-11-02,09:05:00,eBird - Traveling Count,82,1,1.62,NA,16,NA,"Several skeins throughout the morning, mostly moving north.",BirdSoc November Walk,NA
S201354098,Pink-footed Goose,Anser brachyrhynchus,299,79,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-11-04,08:52:00,eBird - Traveling Count,43,1,1.52,NA,1,NA,Two smallish flocks over.,NA,NA
S201740955,Pink-footed Goose,Anser brachyrhynchus,299,292,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-11-08,09:07:00,eBird - Traveling Count,42,1,1.42,NA,1,NA,NA,NA,NA
S202122228,Pink-footed Goose,Anser brachyrhynchus,299,5,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-11-11,09:11:00,eBird - Traveling Count,44,1,1.51,NA,1,NA,NA,NA,NA
S202236671,Pink-footed Goose,Anser brachyrhynchus,299,12,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-11-12,08:44:00,eBird - Traveling Count,37,1,1.01,NA,1,NA,NA,NA,NA
S202524247,Pink-footed Goose,Anser brachyrhynchus,299,529,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-11-15,08:52:00,eBird - Traveling Count,46,1,1.51,NA,1,NA,NA,NA,NA
S203073102,Pink-footed Goose,Anser brachyrhynchus,299,292,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-11-20,11:07:00,eBird - Traveling Count,39,1,1.35,NA,1,NA,NA,Pond almost completely frozen over. Frost on the ground. Cold...,NA
S205223359,Pink-footed Goose,Anser brachyrhynchus,299,458,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-12-13,09:52:00,eBird - Traveling Count,47,1,1.63,NA,1,NA,NA,Pond mostly frozen with a small patch of open water in the middle.,NA
S205475960,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-12-15,14:06:00,eBird - Traveling Count,43,1,1.22,NA,1,NA,NA,"Very windy, thus very quiet",NA
S205883111,Pink-footed Goose,Anser brachyrhynchus,299,163,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-12-19,09:15:00,eBird - Traveling Count,45,1,1.58,NA,1,NA,NA,NA,NA
S206283802,Pink-footed Goose,Anser brachyrhynchus,299,88,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-12-23,10:55:00,eBird - Traveling Count,37,1,1.04,NA,1,NA,NA,NA,NA
S206724678,Pink-footed Goose,Anser brachyrhynchus,299,147,GB-SCT,Fife,L27146173,North Haugh Pond,56.3421702,-2.8172207,2024-12-27,11:15:00,eBird - Traveling Count,37,1,0.98,NA,1,NA,NA,NA,NA
S198416445,Pink-footed Goose,Anser brachyrhynchus,299,107,GB-SCT,Fife,L27425323,Old Course Hotel Bus Stop,56.3417382,-2.8110546,2024-10-12,08:24:00,eBird - Stationary Count,7,1,NA,NA,1,NA,NA,NA,NA
S196717572,Pink-footed Goose,Anser brachyrhynchus,299,6,GB-SCT,Fife,L8016493,Out Head,56.366517,-2.8198006,2024-09-28,12:23:00,eBird - Traveling Count,39,1,1.71,NA,1,NA,NA,NA,NA
S201995712,Pink-footed Goose,Anser brachyrhynchus,299,21,GB-SCT,Fife,L8016493,Out Head,56.366517,-2.8198006,2024-11-10,11:09:00,eBird - Traveling Count,90,1,1.89,NA,13,NA,NA,NA,NA
S159572057,Pink-footed Goose,Anser brachyrhynchus,299,60,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-01-22,21:38:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,"Flying overhead, rough estimate of flock size.",NA,NA
S161236674,Pink-footed Goose,Anser brachyrhynchus,299,150,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-02-11,18:06:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S165199965,Pink-footed Goose,Anser brachyrhynchus,299,100,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-03-17,19:09:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S166286421,Pink-footed Goose,Anser brachyrhynchus,299,40,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-03-28,22:42:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S167965694,Pink-footed Goose,Anser brachyrhynchus,299,3,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-04-10,09:12:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,Quite late. Only a few flying over today.,NA,NA
S197430524,Pink-footed Goose,Anser brachyrhynchus,299,50,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-10-04,08:30:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S199993957,Pink-footed Goose,Anser brachyrhynchus,299,115,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-10-23,17:14:00,eBird - Traveling Count,7,1,0.17,NA,1,NA,NA,NA,NA
S200903312,Pink-footed Goose,Anser brachyrhynchus,299,2,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-10-31,16:47:00,eBird - Stationary Count,8,1,NA,NA,1,NA,NA,NA,NA
S204428882,Pink-footed Goose,Anser brachyrhynchus,299,20,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-12-04,08:04:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S205835156,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-12-18,17:56:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S206478852,Pink-footed Goose,Anser brachyrhynchus,299,30,GB-SCT,Fife,L27113018,Saint Leonard's Cottage,56.3379004,-2.8129325,2024-12-25,08:29:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S159894072,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L28959665,St Andrews Holiday Park,56.330766,-2.7722947,2024-01-27,12:55:00,eBird - Traveling Count,5,1,0.18,NA,1,NA,NA,NA,NA
S160589226,Pink-footed Goose,Anser brachyrhynchus,299,23,GB-SCT,Fife,L4828301,St Andrews Links,56.3495844,-2.8087478,2024-02-04,10:23:00,eBird - Traveling Count,22,1,1.87,NA,7,NA,NA,NA,NA
S200330933,Pink-footed Goose,Anser brachyrhynchus,299,200,GB-SCT,Fife,L4828301,St Andrews Links,56.3495844,-2.8087478,2024-10-26,16:02:00,eBird - Traveling Count,52,1,3.54,NA,1,NA,NA,Some birds seen on the estuary as I passed by on the path.,NA
S201986668,Pink-footed Goose,Anser brachyrhynchus,299,288,GB-SCT,Fife,L4828301,St Andrews Links,56.3495844,-2.8087478,2024-11-10,10:21:00,eBird - Traveling Count,48,1,2.79,NA,13,NA,NA,NA,NA
S158030925,Pink-footed Goose,Anser brachyrhynchus,299,250,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-01-04,16:10:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,A flock heard flying over - sounded large and fairly low down but couldn't see the birds out the window,NA,NA
S158641101,Pink-footed Goose,Anser brachyrhynchus,299,50,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-01-11,17:03:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,Flying over. Sounded like a moderately large flock.,NA,NA
S159185128,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-01-18,11:20:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,Single bird heard flying over the building - perhaps more but only one voice.,NA,NA
S161554214,Pink-footed Goose,Anser brachyrhynchus,299,20,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-02-15,13:57:00,eBird - Stationary Count,5,1,NA,NA,1,NA,NA,NA,NA
S199302963,Pink-footed Goose,Anser brachyrhynchus,299,10,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-10-18,10:37:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S201354416,Pink-footed Goose,Anser brachyrhynchus,299,1,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-11-04,09:40:00,eBird - Traveling Count,5,1,0.29,NA,1,NA,NA,NA,NA
S202336968,Pink-footed Goose,Anser brachyrhynchus,299,400,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-11-13,08:38:00,eBird - Traveling Count,9,1,0.19,NA,1,NA,NA,NA,NA
S202470042,Pink-footed Goose,Anser brachyrhynchus,299,X,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-11-14,16:45:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S202887155,Pink-footed Goose,Anser brachyrhynchus,299,5,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-11-18,10:38:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S203772860,Pink-footed Goose,Anser brachyrhynchus,299,X,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-11-27,16:42:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
S204907830,Pink-footed Goose,Anser brachyrhynchus,299,45,GB-SCT,Fife,L7558618,St Andrews Observatory,56.3366136,-2.8163302,2024-12-09,11:40:00,eBird - Casual Observation,NA,0,NA,NA,1,NA,NA,NA,NA
